University,Degree,Date,User,university_name,faculty_name
fayoum university,"bachelor's degree, computers and information, cs",Sep 2016 - Aug 2020,badr-mohamed-2a307321b,fayoum,computer
cairo university faculty of engineering,"bachelor's degree, computer engineering",2017 - 2022,bahaa-el-deen-b71902156,cairo,computer
himit,"bacholar, computer science",2019 - 2023,barmge,,computer
information technology institute (iti),"diploma of education, open source",Sep 2020 - May 2021,baselrabia,institute,
helwan university cairo,"bachelor of engineering - be, electrical, electronics and communications engineering",2014 - 2019,baselrabia,helwan,engineering
information technology institute (iti),cloud platform development,2018 - 2019,bassant-sayed-714801187,institute,
helwan university cairo,"bachelor's degree , computer and information sciences and support services.",2014 - 2018,bassant-sayed-714801187,helwan,computer
cairo university,"bachelor of engineering - be, electrical and electronics engineering",2012 - 2019,bassel-emad-76003878,cairo,engineering
information technology institute (iti),mearn stack development,Nov 2021 - Mar 2022,bassem-desouki,institute,
faculty of computers and informatics,"bachelor's degree, computer science",2015 - 2019,bassem-desouki,,computer
zagazig university,computers and informatics,,bassem-desouki,zagazig,computer
alexandria university,"bachelor's degree, computer and communications engineering",2016 - 2021,bassem-onsimos,alexandria,computer
victoria college,cambridge igcse,2002 - 2016,bassem-onsimos,,
cairo university,"bachelor's degree, physical therapy/therapist",,bassemomar,cairo,
"faculty of engineering, alexandria university","bachelor’s degree, computer and systems engineering",2014 - 2019,bassent-abuzeid-28178b128,alexandria,computer
fayoum university,"bachelor's degree, comupter and systems engineering",2017 - 2022,belal-abdelnasser-04,fayoum,engineering
information technology institute (iti),"diploma of education, business intelligence",Aug 2022 - Nov 2022,belal-abdelnasser-04,institute,
information technology institute (iti),oct 2020 - jul 2021,,belal-elgendy-328688113,institute,
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2013 - 2017,belal-elgendy-328688113,alexandria,engineering
cairo university,"master's degree, computer engineering",Feb 2023 - Sep 2025,belal-elhossany-a9a851180,cairo,computer
cairo university,"bachelor's degree, computer engineering",2017 - 2022,belal-elhossany-a9a851180,cairo,computer
helwan university cairo,"b.e., computer engineering",2014 - 2019,beshoy-samy-227855110,helwan,computer
modern academy maadi,"bachelor of engineering - be, communication and electronics engineering",2012 - 2017,beshoymoris,modern academy,engineering
the german university in cairo,"bachelor's degree, mechatronics, robotics, and automation engineering",2011 - 2016,bishoy-boules-668320164,cairo,engineering
mansoura university,"bachelor's degree, computer engineering",2014 - 2019,bishoyatif,mansoura,computer
cairo university,"undergradute, artificial intelligence",Aug 2018 - Aug 2023,catbit,cairo,
cairo university,"bachelor's degree, computer science",2013 - 2017,dalia-mooh,cairo,computer
luxor university,"bachelor of computer and information, computer science",2016 - 2020,dalia-saeed-3804a7147,,computer
faculty of computer science and information technology - cairo university,"bachelor's degree, major : information system , minor : decision support",2013 - 2017,daliaihab,cairo,computer
the british university in egypt,"master's degree, masters of web science",2017 - 2019,deena-elmenshawy-9b8481194,iti,
the british university in egypt,"bachelor of science - bs, computer software engineering",2013 - 2017,deena-elmenshawy-9b8481194,iti,computer
arab open university,"bachelor of science - bs, computer science",Sep 2018 - Aug 2022,derbalajr,,computer
the open university,"bachelor of science - bs, computer science",Sep 2018 - Aug 2022,derbalajr,,computer
mansoura university,"information technology pre-master, computer and information science",Oct 2022 - Oct 2023,devahmedemad,mansoura,computer
mansoura university,"bachelor's degree, computer and information science",2018 - Jul 2022,devahmedemad,mansoura,computer
information technology institute (iti),ios development,Dec 2021 - Mar 2022,devibrahimhamed,institute,
mansoura university,"bachelor's degree, engineering",2015 - 2020,devibrahimhamed,mansoura,engineering
"faculty of engineering , universty of alexandria","master's degree, civil engineering",,dibo,,engineering
norwegian university of science and technology (ntnu),"bachelor of science - bs, computer science",2018 - 2021,dilawar,,computer
norwegian university of science and technology (ntnu),"courses, mathematics and statistics",Aug 2019 - Jun 2021,dilawar,,
"faculty of engineering, ain shams university","bachelor of engineering - be, computer engineering",2016 - 2021,dina-adel-shalabi-39a926135,ain shams,computer
cairo university,"bachelor's degree, computer engineering",2017 - 2022,dina-alaa-20a5091a7,cairo,computer
zewail city of science and technology,"bachelor's degree, communications and information engineering",2016 - 2021,dina-elkholy14,zewail city,engineering
cairo university,"bachelor's degree, computer engineering",2015 - 2020,dina-walid-06385b1b0,cairo,computer
elshourok academy,"bachelor of engineering (b.e.), biomedical engineering and systems control",2006 - 2011,dinakhorshed,,engineering
iti,user interface development specialist,,dinakhorshed,iti,
information technology institute (iti),full stack web development using mern,Nov 2021 - Mar 2022,doaa-eldesoki,institute,
alexandria university,"bachelor's degree, faculty of science",2015 - 2019,doaa-eldesoki,alexandria,
ain shams university,"bachelor's degree, faculty of computer and information sciences, bioinformatics",2015 - 2019,doaa-mohamed-samir-01031997,ain shams,computer
ain shams university,"bachelor's degree, computer and systems",2016 - 2021,doaa-yehia98,ain shams,computer
higher technological institute,2017 - 2022,,doha-osama-0195a8242,institute,
information technology institute (iti),game programming,2020 - 2021,duha-emad,institute,
"arab academy for science, technology and maritime transport","good, computer science",2016 - 2020,duha-emad,iti,computer
cairo university,"master of science - ms, computer science",2014 - 2020,ehab-terra-271b3a23,cairo,computer
cairo university,"higher diploma, computer science",2009 - 2011,ehab-terra-271b3a23,cairo,computer
ain shams university,"b.sc. commerce, accounting",2002 - 2006,ehab-terra-271b3a23,ain shams,
information technology institute (iti),cloud platform development trainee,Oct 2021 - Jun 2022,elaria-adham-416928192,institute,
ain shams university,"bachelor's degree, computer and information sciences, general",Sep 2017 - Jul 2021,elaria-adham-416928192,ain shams,computer
alexandria university,"bachelor's degree, major: computer engineering, minor: communications engineering",Sep 2016 - Feb 2022,elborolosymeeral,alexandria,computer
benha university,"bachelor's degree, computer science and artificial intelligence",,elsayed-mustafa-848502158,benha,computer
cairo university,"bachelor of science (b.sc.), computer science",2002 - 2007,emad2nd,cairo,computer
helwan university cairo,"premaster, software engineering",2017 - 2019,emad2nd,helwan,engineering
faculty of engineering,"bachelor's degree, electrical, electronics and communications engineering",2005 - 2010,eman-abd-elaziz-5b480219b,,engineering
cairo university faculty of engineering,"bachelor's degree, computer engineering",2008 - 2013,eman-abdel-ghaffar-75587070,cairo,computer
information technology institute,"technical diploma, opensource",2014 - 2015,eman-abdel-ghaffar-75587070,institute,
information technology institute (iti),"diploma of education, user interface and web development",2019 - 2020,eman-elsayed,institute,
helwan university cairo,"bachelor's degree, biomedical/medical engineering",2013 - 2018,eman-elsayed,helwan,engineering
cairo university,bachelor’s degree,2007 - 2012,eman-hosam-18b2a4103,cairo,
cairo university,"bachelor's degree, computer engineering",2018 - 2022,eman-othman-26634914a,cairo,computer
alexandria university,"bachelor's degree, computer engineering",Sep 2016 - Aug 2021,eman-rafik-00973416b,alexandria,computer
alexandria university,"master of science - ms, computer engineering",Sep 2022,eman-rafik-00973416b,alexandria,computer
the american university in cairo,"bachelor of science - bs, electrical, electronics and communications engineering",2016 - Jan 2022,eman-saad-59739b164,cairo,engineering
the american university in cairo,"bachelor of science - bs, physics",2016 - Jan 2022,eman-saad-59739b164,cairo,
faculty of computer and information science ain-shams university,"bachelor's degree, information systems",Sep 2013 - Jun 2017,emanhussien95,,computer
alexandria university,"master of science, information technology",Sep 2022,engkhaledmousa,alexandria,computer
cairo university,"bachelor's degree, computer engineering",2014 - 2018,engyelshorbagy01,cairo,computer
mansoura university,"bachelor’s degree, computer science and information systems",2009 - 2013,eslam--adel,mansoura,computer
ain shams university,"bachelor of engineering - be, computer and system engineering",2014 - 2019,eslam-abuelseaoud,ain shams,computer
"faculty of engineering, alexandria university","bachelor's degree, communication and electronics engineering",2014 - 2019,eslam-adel-07,alexandria,engineering
alexandria university,"bachelor's degree, computer science",2009 - 2013,eslam-adel-163694b2,alexandria,computer
october 6 university,"good, computer science &amp;information system",2014 - 2018,eslam-alaa96,october,computer
cairo university,computer engineering,2019 - 2024,eslam-ashraf-b70880216,cairo,computer
university of ottawa,"master of engineering - meng, ms, artificial intelligence and data science",Jan 2022 - Feb 2023,eslam-elassal-740201121,ottawa,engineering
assuit university,"faculty of computers and information,bachelor's degree,multimeida department,very good with honor",2013 - 2017,eslam-elassal-740201121,,computer
mansoura university,"bachelor's degree, computer science",2014 - 2018,eslam-elgedawy,mansoura,computer
information technology institute (iti),"very good, mobile application development",2019 - 2019,eslam-elgedawy,institute,
cairo university,"bachelor's degree, electrical, electronics and communications engineering",2018 - 2022,eslam-khaled-ek,cairo,engineering
suez canal university,"bachelor of engineering - be, petroleum exploration and production engineering",2013 - 2018,eslam-khodair,suez canal,engineering
electronics and communication engineereng cairo university,"undergraduate, electrical, electronics and communications engineering",2017 - 2021,eslam-mamdouh-63655016a,cairo,engineering
fgssr - faculty of graduate studies for statistical research at cairo university,"master of science - ms, data science",Oct 2022 - Nov 2024,eslam-samy-1210,cairo,
mansoura university,"bachelor's degree, mechatronics, robotics, and automation engineering",2015 - 2020,eslam-samy-1210,mansoura,engineering
ain shams university,"bachelor of engineering - be, computer software engineering",2015 - 2020,eslam-tayseer-38367b181,ain shams,computer
al-azhar university,"bachelor's degree, electrical, electronics and communications engineering",2017 - 2022,esmail-elmoussel,azhar,engineering
cairo university,"undergraduate, electrical and electronics engineering",2016 - 2021,esmail-hany,cairo,engineering
minia university,"bachelor's degree, computer and information sciences",Sep 2017 - Jul 2021,esraa-antar-b87b9517a,,computer
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",Sep 2017 - Jul 2022,esraa-elbakly,alexandria,engineering
"faculty of engineering, alexandria university, egypt","bachelor's degree, electrical, electronics and communications engineering",Sep 2017 - Jul 2022,esraa-elbakly,alexandria,engineering
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2017 - 2022,esraa-elbakly,alexandria,engineering
mansoura university,"bachelor's degree, computer science",Sep 2018 - Jul 2022,eyadhamza,mansoura,computer
mansoura university,"bachelor's degree, computer science",2018 - 2022,eyadhamza,mansoura,computer
cairo university,"bachelor's degree, computer science",Sep 2020 - Jun 2024,fadiakhaled,cairo,computer
the american university in cairo,"doctor of philosophy - phd, electrical, electronics and communications engineering",Sep 2021 - Jul 2026,fady-abouelghit-083533b7,cairo,engineering
the university of sheffield,"master's degree, aerospace, aeronautical and astronautical engineering",Sep 2019 - Sep 2020,fady-abouelghit-083533b7,,engineering
the american university in cairo,"bachelor of science (b.sc.), electrical, electronics and communications engineering",2014 - 2019,fady-abouelghit-083533b7,cairo,engineering
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2014 - 2019,fady-attia-01,alexandria,engineering
information technology institute (iti),"diploma of education, embedded cybersecurity",Feb 2023 - May 2023,fady-khalil-5a23961b0,institute,
information technology institute (iti),"diploma of education, embedded systems",Oct 2021 - Jul 2022,fady-khalil-5a23961b0,institute,
ucsi,"bachelor's degree, mechatronics, robotics, and automation engineering",Jan 2017 - Dec 2020,fady-khalil-5a23961b0,,engineering
information technology institute (iti),artificial intelligence and machine learning,Apr 2021 - Jan 2022,fady-noshy,institute,
alexandria university,"bachelor of engineering - be, mechanical engineering",2015 - 2020,fady-noshy,alexandria,engineering
london south bank university,"bachelor's degree, computer science",Jul 2021,fadyek,,computer
the british university in egypt,"bachelor's degree, computer science",Jul 2021,fadyek,iti,computer
"arab academy for science, technology and maritime transport","bachelor's degree, computer science",2016 - 2020,fadyelhalfawy,iti,computer
cairo university,computer engineering,2015 - 2020,farah-mostafa-077810185,cairo,computer
ain shams university,"bachelor of computer and information sciences, information technology",2012 - 2016,fatemaelzahraa28,ain shams,computer
ahram canadian university - acu,"bachelor's degree, computer science",2014 - 2018,fatma-ali-773658a9,,computer
cairo university,"bachelor of engineering - be, computer engineering",2015 - 2020,fatma-elbadry-52a179115,cairo,computer
zewail city of science and technology,"bachelor's degree, communications and information engineering",2017 - 2022,fatma-moanes,zewail city,engineering
information technology institute (iti),open source department,2015 - 2016,fatma-sarhan-a4405296,institute,
"faculty of engineering, mansoura university","bachelor (bs), communication and electronics",2008 - 2013,fatma-sarhan-a4405296,mansoura,engineering
ain shams university,"computer science, computer and information sciences",Jun 2017 - Jun 2021,fayrouz-hussien,ain shams,computer
cairo university,"electrical, electronics and communications engineering",2014 - 2019,fayrouz-yehia,cairo,engineering
georgia institute of technology,"master's degree, computer science",Dec 2021,fekri102,institute,computer
mansoura university,"bachelor's degree, computer science",2011 - 2016,fekri102,mansoura,computer
ain shams university,"bachelor's degree, computer and system engineering",2013 - 2018,fouad-ayman-bb3803103,ain shams,computer
cairo university,"bachelor's degree, electrical, electronics and communications engineering",2015 - 2020,gamal-saied-529337124,cairo,engineering
information technology institute (iti),oct 2021 - jun 2022,,gehad-mohammed,institute,
fayoum university,2014 - 2018,,gehad-mohammed,fayoum,
ain shams university,"bachelor's degree, computers and systems engineering",2017 - 2022,george-wageeh-047244156,ain shams,computer
greek catholic patriarchal college,school,,george-wageeh-047244156,,
cairo university,"bachelor's degree, computer engineering",Jul 2019,ghada-mohamed-a59459211,cairo,computer
advanced academy,"bachelor's degree, information system",2012 - 2016,gsagomaasayedismail,,
higher technological institute,"bachelor's degree, communication and electronics",Sep 2017 - Jun 2022,habiba-ahmed-ab41a6193,institute,engineering
zewail city of science and technology,"bachelor's degree, communications and information engineering",Sep 2017 - Jun 2022,habiba-maziad,zewail city,engineering
cairo university,"bachelor of science - bs, systems and biomedical engineering",2017 - 2022,habibamahmoud,cairo,engineering
cairo university,"bachelor's degree, information technology",2011 - 2015,hadeer-ahmed-43b875102,cairo,computer
ain shams university,"bachelor’s degree, computer science",2007 - 2011,hafez-a-elmohsen-7601aa16,ain shams,computer
ain shams university,"bachelor's degree, electrical, electronics and communications engineering",2014 - 2019,hagar-ali-5a484918b,ain shams,engineering
information technology institute (iti),digital ic,2019 - 2020,hagar-ali-5a484918b,institute,
ain shams university,"student, computer engineering",2017 - 2022,haidyelnahass,ain shams,computer
information technology institute (iti),"computer and information sciences, general",Oct 2016 - Jun 2017,hajar-omar-460394118,institute,computer
beni-suef university,"bachelor's degree, computer science",2012 - 2016,hajar-omar-460394118,,computer
minufiya university,"bachelor's degree, computer software engineering",2015 - 2019,halaelsaka2,minufiya,computer
alexandria university,"bachelor of engineering - be, electrical, electronics and communications engineering",2016 - 2021,halaemad,alexandria,engineering
cairo university,"bachelor's degree, electronics and communications engineering",2015 - 2020,hamzafouad,cairo,engineering
alexandria university,"bachelor's degree, computer science",Jul 2017 - Aug 2022,hana-magdy-mohamed-08279b1b9,alexandria,computer
new s.l.s,diploma of education,Sep 2004 - Jul 2017,hana-magdy-mohamed-08279b1b9,,
cairo university,"bachelor's degree, faculty of computers and information",2013 - 2017,hanan-shaaban-012416147,cairo,computer
information technology institute (iti),"diploma, computer science",2019 - 2019,hassan-gameil-023017a1,institute,computer
ain shams university,"bachelor's degree, computer science",2011 - 2017,hassan-gameil-023017a1,ain shams,computer
cairo university,"bachelor's degree, computer engineering",2015 - 2020,hassan-osama,cairo,computer
information technology institute (iti),full stack .net web development,2019 - 2019,hayamsaleh,institute,
"faculty of engineering, alexandria university","bachelor's degree, mechanical engineering",2012 - 2016,hayamsaleh,alexandria,engineering
"arab academy for science, technology and maritime transport","bachelor's degree, computer science",2017 - 2021,hazem-amgad-75a36b221,iti,computer
faculty of computers and information cairo university,"bachelor's degree, computer science",2013 - 2017,hazem-el-sherif-118083139,cairo,computer
cairo university,computer science,2014 - 2018,hazem-emad-a1a8891b2,cairo,computer
higher technological institute,"bachelor's degree, mechatronics, robotics, and automation engineering",Sep 2016 - Sep 2021,hazem-khaled-951a991b2,institute,engineering
cairo university,"bachelor of science (b.sc.), electrical and electronics engineering",2011 - 2016,hazem-mamdouh-fekry-979534ab,cairo,engineering
cairo university,"bachelor of computer engineering - be, computer engineering",Sep 2018 - Jun 2023,hazemkak,cairo,computer
information technology institute (iti),ai and machine learning,Oct 2021,heba-abdelhakam,institute,
minia university,"bachelor's degree, computer engineering",2016 - 2021,heba-abdelhakam,,computer
ain shams university,"bachelor's degree, electrical power and machines",2015 - 2020,heba-abdelnasser,ain shams,
ain shams university,"bachelor's degree, computer engineering",2015 - 2020,heba-atef-322790223,ain shams,computer
"minufiya university, faculty of computer and information","master's degree, information system",Jun 2015,heba-fathy-younis-01871625,minufiya,computer
iti,software development,Sep 2007 - Jun 2008,heba-fathy-younis-01871625,iti,
"minufiya university, faculty of computer and information","bachelor's degree, it",Sep 2003 - May 2007,heba-fathy-younis-01871625,minufiya,computer
the german university in cairo,"bachelor's degree, computer engineering",2015 - 2020,heidi-ashraf,cairo,computer
nile university - nu,"master's degree, commuication and information-informatics",Sep 2018 - Oct 2021,heidy-hazem-90053616b,nile,
information technology institute (iti),"diploma, mobile application and open source",2014 - 2015,heidy-hazem-90053616b,institute,
mansoura university,"bachelor's degree, communication and information",2009 - 2014,heidy-hazem-90053616b,mansoura,engineering
cairo university,"computer engineering cairo university, computer engineering",2018 - 2022,hemdan99,cairo,computer
al-azhar university,"bachelor's degree, systems and computer engineering",2018 - 2023,hend-ibrahim,azhar,computer
cairo university,"bachelor's degree, computer software engineering",2015 - 2019,hesham-aly,cairo,computer
ain shams university,"bachelor's degree, computer science",2014 - 2018,heshamelbahey,ain shams,computer
information technology institute (iti),"aws re/start program learner looking for entry-level cloud role, amazon web services (aws)",2021,heshammansourisamil,institute,
assiut university,"bachelor's degree, computer science",2015 - 2019,heshammansourisamil,,computer
zewail city of science and technology,"bachelor's degree, communications and information engineering",Sep 2017 - Jun 2022,hkhairy,zewail city,engineering
the german university in cairo,"bachelor's degree, computer engineering",2017 - 2022,hodaragaie,cairo,computer
"arab academy for science, technology and maritime transport","bachelor of computer science , computer software engineering",2014 - 2018,hosamasaad,iti,computer
mansoura university,"bachelor's degree, computer science",Jul 2019 - Jul 2023,hosametm,mansoura,computer
route academy,full stack web developmen,Sep 2020 - Feb 2021,hossam-ashraf-a682921ab,,
helwan university cairo,"bachelor of commerce - bcom, management information systems, general",2018 - 2022,hossam-ashraf-a682921ab,helwan,
nile university - nu,"bachelor of engineering - be, computer engineering",2015 - 2020,hossam-elghamry-035180164,nile,computer
information technology institute (iti),"higher national diploma, artificial intelligence",Apr 2021 - Jan 2022,hossam-khir-allah,institute,
georgia institute of technology,"master of science - ms, computer science - machine learning",Jan 2022 - May 2025,hossam-salah-emam,institute,computer
ain shams university,"student, computer engineering",2014 - 2019,hossam-salah-emam,ain shams,computer
"faculty of engineering, alexandria university","bachelor's degree, electrical, electronics and communications engineering",2011 - 2016,hossammohamed236,alexandria,engineering
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2011 - 2016,hossammohamed236,alexandria,engineering
alexandria university,"bachelor's degree, mechanical engineering",2009 - 2014,hossammourad,alexandria,engineering
epfl (école polytechnique fédérale de lausanne),"doctor of philosophy - phd, computer science",Sep 2021,husseinfadl,,computer
cairo university,"master's degree, computer engineering",2017 - 2019,husseinfadl,cairo,computer
cairo university,"bachelor's degree, computer engineering",2012 - 2017,husseinfadl,cairo,computer
cairo university,"bachelor's degree, computer science",2017 - 2020,husseinraoouf,cairo,computer
assiut university,"bachelor’s degree, computer science",2014 - 2019,hussienibrahiem,,computer
mansoura university,"bachelor's degree, computer science",Sep 2018 - Aug 2022,hzmessam,mansoura,computer
information technology institute (iti),"summer training, backend development",Jul 2021 - Aug 2021,hzmessam,institute,
georgia institute of technology,"master of science - ms, computer science",2020 - 2023,iahmedmaher,institute,computer
cairo university,"bachelor's degree, major in computer engineering (ccec)",2014 - 2019,iahmedmaher,cairo,computer
cairo university,"bachelor’s degree, computer engineering",2015 - 2019,iar96,cairo,computer
future high institute,"bachelor's degree, computer science",2014 - 2017,ibrahim-aboalsoud,future,computer
information technology institute (iti),"diploma, full-stack .net development diploma",2019 - 2019,ibrahim-ahmed-1106,institute,
faculty of engineering - tanta university,"bachelor's degree, computer software engineering",2011 - 2016,ibrahim-ahmed-1106,tanta,computer
information technology institute (iti),2021 - 2021,,ibrahim-ali-mo,institute,
al-azhar university,"bachelor's degree, geophysics and seismology",2015 - 2019,ibrahim-ali-mo,azhar,
the american university in cairo,"bachelor of science (b.sc.), computer science",2012 - 2016,ibrahim-elsebaie,cairo,computer
mansoura university,"bachelor of science - bs, computer and information sciences, general",2015 - 2019,ibrahim-fouad,mansoura,computer
fayoum university,bachelor of education - bed,2013 - 2016,ibrahim-hassan-599935123,fayoum,
cairo university,"phd -, machine learning, deep learning, reinforcement learning, fast learning agents",2011 - 2017,ibrahim-sobh-phd-8681757,cairo,
cairo university,"m.sc, machine learning, automatic document summarization",2005 - 2009,ibrahim-sobh-phd-8681757,cairo,
cairo university,"b.sc, computer engineering",1992 - 1997,ibrahim-sobh-phd-8681757,cairo,computer
rptu kaiserslautern-landau,"master's degree, computer science (intelligent systems)",2017 - 2019,ibrahimabdelaziz1,,computer
cairo university,"bachelor of electrical engineering, computer engineering",2011 - 2016,ibrahimabdelaziz1,cairo,computer
tanta university,"bachelor's degree, computing and automatic control",2013 - 2018,ibrahimelsaidsaad,tanta,
misr university for science and technology,"bachelor's degree, computer science",2014 - 2018,ihab-ahmed,misr,computer
duke university,"ai product management specialization, ai product management",Jan 2023,ihab-tag,,
cairo university,"master of science - ms, electrical, electronics and communications engineering",2013 - 2018,islam-ahmed-54a2b899,cairo,engineering
cairo university,"bachelor's degree, electrical, electronics and communications engineering",2007 - 2012,islam-ahmed-54a2b899,cairo,engineering
university of liverpool,"master's degree, computer science - cybersecurity",2018 - 2020,islam-dawood-85230918,,computer
helwan university cairo,"bachelor's degree, computer science",2003 - 2007,islam-dawood-85230918,helwan,computer
university of windsor,"master of engineering - meng, electrical and electronics engineering",Aug 2018 - Jan 2020,islam-elmas,,engineering
alexandria university,"bachelor's degree, electrical and power transmission installation/installer, general",2011 - 2016,islam-elmas,alexandria,
alexandria university,"bachelor's degree, management information systems",2008 - 2011,islam-elsayed-52639a41,alexandria,
madina higher institutes,"بكالوريوس تكنولوجيا, تكنولوجيا الحاسب الآلي/تقنية نظم الحاسب الآلي",Oct 2019 - Jun 2023,islam-emad-7a0152205,institute,
"faculty of computers and information, cairo university","bachelor's degree, computer science",2008 - 2012,islam-hassan-b733aa23,cairo,computer
ain shams university,"bachelor's degree, computer science",2015 - 2019,islam-muhammad13,ain shams,computer
information technology institute (iti),"diploma of software engineering, java",2010 - 2011,islammahamed,institute,engineering
zagazig university,"bachelor's degree, computer and information sciences",,islammahamed,zagazig,computer
helwan university cairo,"bachelor’s degree, mathematics and computer science",2010 - 2015,islammoneer,helwan,computer
thebes academy,"bachelor's degree, computer science",Jan 2017 - Jul 2021,islammuhamed,thebes,computer
information technology institute (iti),"diploma, embedded systems",2020 - 2021,islamshafeek,institute,
mansoura university,"bachelor of science - bsc, mechatronics, robotics, and automation engineering",2013 - 2018,islamshafeek,mansoura,engineering
ain shams university,"bachelor's degree, computer science",2013 - 2017,ismailsamiribrahim,ain shams,computer
helwan university cairo,"bachelor's degree, faculty of computers and artificial intelligence",2016 - 2020,israa-ashraf-716880143,helwan,computer
information technology institute (iti),network and system administration/administrator,2020 - 2021,israa-shawkii-ibrahim,institute,
al-azhar university,"bachelor's degree, electrical and electronics engineering",2016 - 2020,israa-shawkii-ibrahim,azhar,engineering
cairo university,"junior, computer engineering",2015 - 2020,israaachraf,cairo,computer
alexandria university faculty of engineering,"bachelor's degree, computer science",2014 - 2019,jaylan-khaled-a5a33a146,alexandria,computer
collège notre dame de sion,2000 - 2014,,jaylan-khaled-a5a33a146,,
cairo university,"bachelor of engineering - be, computer engineering",2014 - 2019,kamal-aly-346137115,cairo,computer
cairo university,"bachelor of engineering - be, systems and biomedical-medical engineering",2019 - 2024,kamel--mohamed,cairo,engineering
cairo university,"bachelor's degree, computer engineering",2016 - 2021,kareem-osama-a9b4ba1b1,cairo,computer
misr university for science and technology,"bachelor's degree, mechatronics, robotics, and automation engineering",2017 - 2022,kareem-s-a6a5b4ba,misr,engineering
october 6 university,"bachelor's degree, computer science",2012 - 2016,kariim8,october,computer
ain shams university,bachelor of laws - llb,2013 - 2017,karim-adnan-ba251a1a7,ain shams,
"arab academy for science, technology and maritime transport","master's degree, dispute resolution",Sep 2020 - Dec 2022,karim-adnan-ba251a1a7,iti,
modern academy maadi,"bachelor's degree, mechanical engineering",2012 - 2017,karim-ahmed-659737141,modern academy,engineering
alexandria university,"bachelor's degree, computer and systems engineering",2011 - 2016,karim-el-azzouni-29002385,alexandria,computer
faculty of computer and informations - cairo university,"bachelor of computer science, computer science",2005 - 2009,karim-nosseir,cairo,computer
cairo university,"bachelor's degree, computer engineering",2015 - 2020,karim-yasser-36a80119b,cairo,computer
delta higher institute of computers,"bachelor's degree, management information systems, general",Sep 2018 - Jun 2022,karimatif33,institute,computer
future academy - higher future institute for specialized technological studies,"bachelor's degree, computer science",2016 - 2020,karimhisham,future,computer
new cairo academy,"bachelor's degree, electrical and electronics engineering",2017 - 2022,karimmostafa0717,,engineering
information technology institute (iti),"diploma , open source technology",2016 - 2017,kazafy-sayed-b2546693,institute,
suez canal university,"bachelor of computer science , computer science",2010 - 2014,kazafy-sayed-b2546693,suez canal,computer
alexandria university,"bachelor of science - bs, computer &amp; communications engineering",2014 - 2019,kelawaad,alexandria,computer
the german university in cairo,"bachelor of science - bs, computer engineering",2017 - 2022,keroleselkess43,cairo,computer
suez canal university,"bachelor's degree, computer science",2016 - 2020,kerolloz,suez canal,computer
cairo university,"bachelor's degree, computer engineering",2016 - 2021,khaled-amgad-21040a200,cairo,computer
cairo university,"bachelor's degree, electronics and electrical communications engineering",2017 - 2022,khaled-mahmoud22,cairo,engineering
ain shams university,"bachelor's degree, computer engineering",2015 - 2020,khaled-mansour-22a914184,ain shams,computer
helwan university cairo,"bachelor's degree, electronics ,communication and compuer engineering",2013 - 2018,khaled-mohamed-gamal-47723b151,helwan,engineering
cairo university,"master of science - ms, computer engineering",Feb 2023,khaled-nassar-2a129414b,cairo,computer
cairo university,"bachelor of science - bs, computer engineering",2016 - 2021,khaled-nassar-2a129414b,cairo,computer
information technology institute (iti),big data specialist intensive training program,Apr 2021 - Jul 2021,khaled-sobhy-6b174b131,institute,
alexandria university,"bachelor's degree, electronic and communications engineering",2013 - 2019,khaled-sobhy-6b174b131,alexandria,engineering
ain shams university,"bachelor's degree, computer and information sciences, general",2016 - 2020,khaledmustafa8,ain shams,computer
cairo university,"bachelor of engineering - be, computer engineering",2015 - 2020,khaledsabry97,cairo,computer
"faculty of engineering , mansoura university","bachelor of engineering - be, computer science",2014 - 2019,khalidhsoliman,mansoura,computer
ntl institute,"game design and development specification , computer games and programming skills",2017 - 2018,khalidhsoliman,institute,computer
mansoura university,"bachelor of engineering - be, electrical and electronics engineering",Oct 2012 - Jul 2017,khalidzeiter,mansoura,engineering
the higher institute for specific studies,"good, tourism guidance",2007 - 2011,kirollos-georges-63b34b97,institute,
faculty of education-french section (ain shams university),french language teacher education,2005 - 2007,kirollos-georges-63b34b97,ain shams,
"collège des frères st. joseph, khoronfish",2002 - 2005,,kirollos-georges-63b34b97,,
alexandria university,"bachelor of engineering - be, electronics and telecommunications",Sep 2017 - Jul 2022,kirollos-n,alexandria,engineering
alexandria university,"very good, tourism and airline studies",2016 - 2019,komtcho,alexandria,
computer and artificial intelligence cairo university,"bachelor's degree, computer science",2017 - 2021,leena-essam-368279162,cairo,computer
the german university in cairo,"bachelor's degree, computer science and engineering",2013 - 2018,leena-morsi-48a390144,cairo,computer
information technology institute (iti),"diploma, web and ui development",2017 - 2018,linah-omara,institute,
cairo university,"bachelor of engineering - be, computer engineering",2012 - 2017,linah-omara,cairo,computer
minia university,"bachelor of computer and information, computer science",Sep 2009 - Jun 2013,louees-nabil-944468100,,computer
assiut university,computer software engineering,Sep 2013 - Jun 2014,louees-nabil-944468100,,computer
ain shams university,"bachelor of engineering - be, computer engineering",2016 - 2021,m-elsaeed,ain shams,computer
